epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,418.195,1.60313,5.72278,1.18286,0.009,0.14679,0.00766,0.00433,0.0508,32.2583,0.04442,0.00333156,0.00333156,0.00333156
2,825.718,1.74026,2.09815,1.30424,0.00547,0.13303,0.00281,0.00114,0.07546,31.0468,0.06101,0.00644495,0.00644495,0.00644495
3,1234.38,1.90263,2.21125,1.42485,0.00886,0.05505,0.00304,0.00119,0.0913,36.0814,0.08418,0.00933835,0.00933835,0.00933835
4,1635.28,1.8775,2.07946,1.46488,0.00564,0.12844,0.0033,0.00124,0.08176,41.6004,0.06677,0.00901,0.00901,0.00901
5,2035.61,1.72504,1.81145,1.39641,0.00674,0.09174,0.00369,0.00137,0.0833,34.6769,0.06699,0.00868,0.00868,0.00868
6,2429.58,1.6385,1.63663,1.32903,0.00459,0.07798,0.00204,0.00088,0.08341,42.6498,0.07203,0.00835,0.00835,0.00835
7,2827.79,1.57027,1.55269,1.2825,0.00528,0.08716,0.00202,0.00089,0.07966,47.7589,0.06836,0.00802,0.00802,0.00802
8,3219.69,1.49139,1.38981,1.25958,0.00432,0.08716,0.00215,0.0011,0.073,47.9094,0.05973,0.00769,0.00769,0.00769
9,3608.09,1.44864,1.34842,1.23714,0.00465,0.07339,0.00321,0.00154,0.06951,50.9608,0.05863,0.00736,0.00736,0.00736
10,3996.61,1.4142,1.27894,1.20513,0.0047,0.08716,0.00257,0.00138,0.06233,54.1679,0.05484,0.00703,0.00703,0.00703
11,4387.41,1.37442,1.19948,1.19183,0.004,0.0367,0.00178,0.00086,0.07514,56.1475,0.06756,0.0067,0.0067,0.0067
12,4776.56,1.38341,1.21194,1.18274,0.00642,0.09174,0.00244,0.00126,0.06185,59.2203,0.05294,0.00637,0.00637,0.00637
13,5164.83,1.32581,1.13993,1.16844,0.0041,0.05046,0.00143,0.00078,0.06083,60.4969,0.05582,0.00604,0.00604,0.00604
14,5551.9,1.30886,1.11355,1.14877,0.00308,0.04587,0.00148,0.00082,0.06092,63.7522,0.05214,0.00571,0.00571,0.00571
15,5945.46,1.2957,1.10174,1.13662,0.00463,0.05046,0.0021,0.00116,0.05828,64.8569,0.05274,0.00538,0.00538,0.00538
16,6333.43,1.25776,1.07062,1.12909,0.00454,0.07798,0.00246,0.00132,0.05838,67.8272,0.05192,0.00505,0.00505,0.00505
17,6721.06,1.24475,1.0238,1.12265,0.00382,0.05963,0.00176,0.00104,0.05455,67.6339,0.05066,0.00472,0.00472,0.00472
18,7111.14,1.21119,0.98427,1.11051,0.00674,0.1055,0.00358,0.00211,0.05792,68.2865,0.05216,0.00439,0.00439,0.00439
19,7499.74,1.18336,0.95519,1.09441,0.00495,0.07339,0.00269,0.00164,0.05279,70.6579,0.04932,0.00406,0.00406,0.00406
20,7887.42,1.1716,0.93706,1.084,0.00658,0.10092,0.00317,0.00198,0.0476,73.1886,0.04594,0.00373,0.00373,0.00373
21,8276.71,1.1642,0.89568,1.02108,0.00529,0.07339,0.00213,0.00131,0.0475,69.5103,0.04723,0.0034,0.0034,0.0034
22,8666.01,1.12482,0.83638,1.01196,0.00615,0.09174,0.00287,0.00175,0.05038,71.8344,0.04701,0.00307,0.00307,0.00307
23,9054.31,1.09699,0.78629,0.9964,0.00769,0.11009,0.00347,0.00215,0.05172,73.2331,0.04771,0.00274,0.00274,0.00274
24,9442.08,1.09403,0.77588,0.97985,0.00965,0.13303,0.0042,0.00265,0.05015,74.7786,0.04715,0.00241,0.00241,0.00241
25,9834.6,1.05771,0.75186,0.9758,0.01193,0.16514,0.00526,0.00317,0.04826,75.0149,0.04658,0.00208,0.00208,0.00208
26,10223.3,1.03893,0.71375,0.96885,0.01296,0.1789,0.00615,0.0038,0.04488,76.1016,0.04562,0.00175,0.00175,0.00175
27,10611.3,1.03877,0.70432,0.95991,0.01351,0.18349,0.00666,0.00419,0.04428,77.6666,0.04523,0.00142,0.00142,0.00142
28,10999.8,1.00458,0.67559,0.94206,0.01501,0.20642,0.00667,0.00422,0.04341,79.643,0.04528,0.00109,0.00109,0.00109
29,11390.5,0.97843,0.64958,0.94512,0.01725,0.22936,0.00786,0.00496,0.04262,80.8391,0.04513,0.00076,0.00076,0.00076
30,11779.8,0.95164,0.6272,0.9286,0.01909,0.25229,0.00891,0.00563,0.04229,81.8117,0.04488,0.00043,0.00043,0.00043
